booking_id,customer_id,stylist_id,service_type,booking_date,booking_hour,day_of_week,lead_time_days,duration_mins,price,showed_up,loyalty_tier,location,age,gender,hist_noshow_rate
BK00001,CUST0231,STYLIST09,Facial,2024-09-09,9,0,2,60,717,1,Silver,Chennai,57,Female,0.09999999999999998
BK00002,CUST0153,STYLIST05,Haircut,2024-12-03,9,1,3,30,361,0,Silver,Nellore,41,Female,0.23076923076923073
BK00003,CUST0261,STYLIST07,Manicure,2024-08-12,15,0,2,45,453,1,Silver,Nellore,42,Male,0.2222222222222222
BK00004,CUST0423,STYLIST06,Facial,2024-10-18,17,4,1,60,676,1,Silver,Nellore,45,Male,0.4
BK00005,CUST0348,STYLIST03,Hair Colour,2025-09-28,17,6,0,90,1469,1,Bronze,Nellore,62,Female,0.23076923076923073
BK00006,CUST0067,STYLIST10,Facial,2024-07-03,10,2,0,60,727,1,Silver,Hyderabad,57,Male,0.15384615384615385
BK00007,CUST0105,STYLIST07,Hair Spa,2025-12-05,13,4,1,60,842,1,Silver,Hyderabad,33,Female,0.2727272727272727
BK00008,CUST0233,STYLIST10,Hair Spa,2026-03-27,11,4,0,60,599,0,Gold,Nellore,46,Female,0.1428571428571429
BK00009,CUST0190,STYLIST10,Waxing,2025-08-27,16,2,0,30,377,1,Silver,Chennai,45,Female,0.125
BK00010,CUST0413,STYLIST07,Haircut,2024-06-28,19,4,7,30,324,0,Bronze,Nellore,52,Male,0.17647058823529416
BK00011,CUST0019,STYLIST04,Manicure,2025-09-26,18,4,14,45,414,1,Silver,Chennai,18,Male,0.25
BK00012,CUST0253,STYLIST06,Haircut,2024-12-25,17,2,1,30,361,1,Platinum,Nellore,32,Female,0.2222222222222222
BK00013,CUST0363,STYLIST03,Waxing,2025-11-16,9,6,0,30,302,0,Silver,Nellore,60,Female,0.2222222222222222
BK00014,CUST0489,STYLIST01,Haircut,2025-02-21,17,4,0,30,304,1,Gold,Bangalore,44,Male,0.21052631578947367
BK00015,CUST0461,STYLIST06,Waxing,2026-04-27,18,0,0,30,205,1,Silver,Nellore,36,Female,0.125
BK00016,CUST0493,STYLIST06,Hair Colour,2024-06-27,13,3,1,90,965,1,Gold,Nellore,35,Female,0.0
BK00017,CUST0284,STYLIST06,Haircut,2024-10-04,14,4,2,30,339,1,Bronze,Hyderabad,23,Female,0.09090909090909094
BK00018,CUST0106,STYLIST03,Haircut,2025-03-27,18,3,2,30,273,1,Bronze,Nellore,53,Male,0.18181818181818177
BK00019,CUST0147,STYLIST07,Haircut,2025-08-24,15,6,0,30,304,1,Bronze,Nellore,46,Female,0.0
BK00020,CUST0341,STYLIST09,Waxing,2025-07-20,16,6,7,30,451,0,Silver,Hyderabad,59,Female,0.125
BK00021,CUST0039,STYLIST08,Manicure,2024-06-13,15,3,7,45,480,1,Bronze,Bangalore,28,Female,0.0
BK00022,CUST0186,STYLIST01,Haircut,2025-08-26,12,1,2,30,372,1,Silver,Chennai,40,Female,0.18181818181818177
BK00023,CUST0358,STYLIST03,Manicure,2024-12-31,17,1,0,45,313,1,Silver,Nellore,46,Male,0.23529411764705888
BK00024,CUST0448,STYLIST07,Haircut,2026-02-26,15,3,1,30,392,1,Silver,Nellore,22,Female,0.3076923076923077
BK00025,CUST0103,STYLIST07,Haircut,2025-11-13,17,3,7,30,255,1,Platinum,Nellore,59,Female,0.1333333333333333
